Item,respondent_nation,complainant_nation,case_status,year_claim_initiated,year_claim_resolved,means_of_resolution,respondent_type,complainant_type,respondent_nation_economy,complainant_nation_economy,provenience_nation
Indian Durga Idol,Germany,India,Object(s) relinquished,2014,2015,Action by Respondent's Govt.,Private: Institution,Public: Institution,Developed,,India
Ethiopian Aksum Obelisk,Italy,Ethiopia,Object(s) relinquished,1947,2004,Arbitration,Public: Government,Public: Government,Developed,Developing,Ethiopia
Brazilian Waurà Cultural Materials Collection,Switzerland,Brazil,Object(s) relinquished,,,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Institution,Developed,,Brazil
Wasco Sally Bag,United States,United States Tribal Nations,Object(s) relinquished,2008,2011,Private Negotiation,Private: Individual,Public: Institution,Developed,Developed,United States Tribal Nations
Indigeous Chief Poundmaker Or Pitikwahanapiwiyin's Pipe And Saddle Bag,Canada,Canadian Tribal Nation,Object(s) relinquished,,2023,Action by Respondent's Govt.,Public: Institution,Private: Individual,Developed,Developed,Canadian Tribal Nation
Pakistani Dancing Girl From Mohenjo-Daro Statue,India,Pakistan,Unresolved,2014,,,Public: Government,Public: Government,Developing,Developing,Pakistan
Guatamalan Piedras Negras Stela 9,France,Guatemala,Object(s) not relinquished,2019,2021,Action by Respondent's Govt.,Private: Company,Public: Government,Developed,Developing,Guatemala
Peruvian Gold Monkey Head,United States,Peru,Object(s) relinquished,1998,2011,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,Developing,Peru
Indian Buff Sandstone Stele Of Rishabhanata And Sandstone Panel Depicting Revanta And His Entourage,United States,India,Object(s) relinquished,2007,2016,,Public: Government,Public: Government,Developed,Developing,India
2nd Century Buddhapada Sculpture,Japan,United States,Object(s) relinquished,,2016,Action by Complainant's Govt.,Private: Individual,Public: Government,Developed,Developed,Pakistan
2nd Century Pakistani Bodhisattva Schist Head From The Gandhara Civilization,United States,United States,Object(s) relinquished,2016,2016,Action by Respondent's Govt.,Public: Institution,Public: Government,Developed,Developed,Pakistan
8th Century Indian Marble Sculpture Of The Hindu Deities Shiva And Parvati,United States,India,Object(s) relinquished,2016 (approximate),2016,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developing,Afghanistan
Ancient Roman Marble Ruin Fragment,United States,Italy,Object(s) relinquished,2017,2020,Sua sponte donation,Private: Individual,Private: Institution,Developed,Developed,Italy
"Indian Idols Of Ram, Sita And Lakshman From Sri Rajagopalaswamy Temple",United Kingdom,India,Object(s) relinquished,1978,2020,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,India
Feltham Books,Romania,United Kingdom,Object(s) relinquished,2017,2020,Coordinated action by Complainant &amp; Respondent Governments,Private: Individual,Public: Government,Developed,Developed,
Tasmanian Preminghana luwamakuna (Petroglyphs),Australia,Australia,Object(s) relinquished,1962,2022,Inquiry/Demand,Public: Institution,Private: Individual,Developed,Developed,Australia
Nigerian Ife Terracotta,Netherlands,Ghana,Object(s) relinquished,2019,2020,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Nigeria
Australian Aboriginal Artifacts,United Kingdom,Australian Aboriginal Territories,Object(s) relinquished,,2019,Inquiry/Demand,Public: Institution,Private: Individual,Developed,Developed,Australian Aboriginal Territories
Indigenous Kwakwaka'wakw Wooden Plank,United States,Canadian Tribal Nation,Object(s) relinquished,,2020,Sua sponte donation,Public: Institution,Public: Government,Developed,Developed,Canadian Tribal Nation
122 Colombian Relics Of The Quimbaya Treasure,Spain,Colombia,Unresolved,2017 (approximate),,,Public: Government,Public: Government,Developed,Developing,Colombia
Indian Panchaloha Idols,India,India,,2020 (approximate),2020,,Private: Individual,Public: Government,Developing,Developing,India
Filipino Santo Niño Artifact,Philippines,Philippines,Object(s) relinquished,1988,2020,Sua sponte donation,Private: Individual,,Developing,Developing,Philippines
12 Greek Christian Icons,United Kingdom,Greece,Object(s) relinquished,2005 (approximate),2020,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developed,Greece
18 Guatemalan Wood And Ceramic Archaeological Objects,2 or more respondent nations,Guatemala,Object(s) relinquished,1960 (approximate),2020,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Guatemala
166 Guatemalan Mayan Artifacts,United States,Guatemala,Object(s) relinquished,,2022,Litigation,Private: Individual,Public: Government,Developed,Developing,Unknown
10 Ancient Indian Artifacts,United States,India,Object(s) relinquished,,2020,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,India
12 Indigenous Siksika Nation Artifacts,Canada,Canadian Tribal Nation,Object(s) relinquished,2020,2020,Inquiry/Demand,Private: Company,Private: Individual,Developed,Developed,Canadian Tribal Nation
2 Indigenous Odinani Igbo Altar Artifacts,France,Nigeria,Unresolved,2020,,,Public: Government,Private: Individual,Developed,Developing,Nigeria
"Guatemalan Maya Effigy Vase From Quiriguá, And Zapotec Figural Urn From Monte Albán",United States,Guatemala,Object(s) not relinquished,,2014,,Private: Institution,Public: Government,Developed,Developing,Guatemala
2 Buddha Statues,India,India,Object(s) relinquished,2021,2021,Action by Complainant's Govt.,Private: Individual,Public: Government,Developing,Developing,India
18th Century Sri Lankan Pair Of Standing Buddha Statues,United States,United States,Object(s) relinquished,2011 (approximate),2021,Coordinated action by Complainant &amp; Respondent Governments,Private: Individual,Public: Government,Developed,Developed,Sri Lanka
Statue Of Sri Lankan Deity Tara,United Kingdom,Sri Lanka,Unresolved,1937 (approximate),,,Public: Institution,Public: Government,Developed,Developing,Sri Lanka
Japanese Buddhist Wood Statue Of Binzuru Sonja,Japan,Japan,Object(s) relinquished,2023,2023,Litigation,Private: Individual,Public: Government,Developed,Developed,Japan
Greek Dekadrachm Coin From Athens,Turkey,Greece,Object(s) relinquished,,2021 (approximate),Litigation,Private: Individual,Public: Government,Developing,Developed,Greece
280 Mexican Archeological Artifacts,United States,Mexico,Object(s) relinquished,1970 (approximate),2012 (approximate),Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Mexico
"Icelandic Cream Jug, Backgammon Whalebone Board Piece And A Wood Butter Box",Germany,Iceland,Object(s) relinquished,1970,2021,Sua sponte donation,Private: Individual,Public: Government,Developed,Developed,Iceland
Mexican Headdress (Quetzalāpanecayōtl),Austria,Mexico,Object(s) not relinquished,2021 (approximate),Unresolved,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developing,Mexico
26 Etruscan Artifacts And Marble Bust,Switzerland,Italy,Object(s) relinquished,,2020,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developed,Italy
"40,282 Indian Coins, Silver Karmaband And 18 Ancient Stamps And Seals",Hong Kong S.A.R.,India,Object(s) relinquished,1994,2020,Litigation,Private: Individual,Public: Government,Developed,Developing,India
140 Pieces Of Mandalay Royal Jewelry And Other Items From Myanmar,United Kingdom,Myanmar/Burma,Object(s) relinquished,1885,1964,Inquiry/Demand,Public: Government,Public: Government,Developed,Developing,Myanmar/Burma
Taino Wooden Sculptures,United Kingdom,Jamaica,Object(s) not relinquished,2020,,Action by Complainant's Govt.,Public: Institution,Public: Government,Developed,Developing,Jamaica
"1,500 Indonesian Artifacts",Netherlands,Indonesia,Object(s) relinquished,2016,2020,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Indonesia
Egyptian Sarcophagus Lid,Italy,Egypt,Object(s) relinquished,2018,2018,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Egypt
Cameroonian Tangue Figurehead,Germany,Cameroon,Object(s) not relinquished,1990 (approximate),,Inquiry/Demand,Public: Institution,Private: Individual,Developed,Developing,Cameroon
Ancient Cypriot Bichrome Ware Vase,United Kingdom,Cyprus,Object(s) relinquished,1974 (approximate),2020 (approximate),Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developed,Cyprus
Kosovo Terracotta Figure,Serbia,Kosovo,Object(s) relinquished,1998 (approximate),2002,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,In Transition,In Transition,Kosovo
Indian Ganesha Deity Idol,,India,Unresolved,2020,,,Private: Individual,Public: Government,,Developing,India
25 Indian Antiquities And Idols,Bangladesh,India,Object(s) relinquished,2020,2020,Litigation,Private: Individual,Public: Government,Developing,Developing,Unknown
Egyptian Encaustic Mummy Portraits,Switzerland,Germany,Object(s) relinquished,2016 (approximate),2016,Private Negotiation,Private: Institution,Private: Institution,Developed,Developed,Egypt
"Indian Antiquities Including Carving Of Buddha Worshippers, Statue Of Pratyangira And Stone Buddha",Australia,India,Object(s) relinquished,2016 (approximate),2017 (approximate),Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,India
Guatemalan Mayan Mask,Belgium,Guatemala,Object(s) relinquished,2008 (approximate),2020,Action by Respondent's Govt.,,,Developed,Developing,Guatemala
Peruvian Altar of Challapampa,United States,Peru,Object(s) relinquished,2002,2006,Action by Complainant's Govt.,Private: Individual,Public: Government,Developed,Developing,Peru
Assyrian Stele With Inscriptions,United Kingdom,Syria,Unresolved,,,,Private: Institution,Public: Government,Developed,Developing,Syria
"Indian Kushan Relief, 10th Century Bronze Buddha And 8th Century Relief Of Shiva And Parvati",United States,India,Object(s) relinquished,2016 (approximate),2016 (approximate),Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developing,India
"23 Statues Of Buddha From Wangcang County, Sichuan",China,China,Unresolved,2021,,,Public: Government,Public: Government,Developed,Developed,China
13 Thai Ancient Buddhist Artifacts,United States,Thailand,Object(s) relinquished,1970 (approximate),2021,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Thailand
16th Century Turkish Ottoman Empire Qur’an,United Kingdom,Turkey,Object(s) relinquished,2015,2021,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Iran
Indigenous Canadian Niis Joohl Totem Pole,Scotland,Canada,Object(s) relinquished,2022 (approximate),2023,Action by Respondent's Govt.,Public: Institution,Private: Individual,Developed,Developed,Canada
18th Century Indian Statuette Of Hindu Goddess Annapoorna,Canada,India,Object(s) relinquished,2019,2019,Action by Respondent's Govt.,Private: Institution,Private: Individual,Developed,Developing,India
3rd Century Turkish Statue Of Anatolian Mother Goddess Cybele,United States,Turkey,Object(s) relinquished,,2020,Action by Respondent's Govt.,,Public: Government,Developed,Developing,Turkey
7 Warlpiri Artifacts,United States,Australian Aboriginal Territories,Object(s) relinquished,2021,2022,Inquiry/Demand,Public: Institution,Private: Individual,Developed,Developed,Australian Aboriginal Territories
"15th Century Iranian Edition Of Hafez's ""Diwan"" Dedicated To The Library Of Pri Budaq",United Kingdom,Iran,Unresolved,2007 (approximate),,,Private: Institution,Public: Government,Developed,Developing,Iraq
18th Century Ethiopian Copper Crown,Netherlands,Ethiopia,Object(s) relinquished,1999 (approximate),2020,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Ethiopia
Indian Natesh Shiva From The Ghateshwar Temple,United Kingdom,India,Object(s) relinquished,2003,2020,Coordinated action by Complainant &amp; Respondent Governments,Private: Individual,Public: Government,Developed,Developing,India
"Edward Herbert Thompson's Collection Of 30,000 Mexican Antiquities From Chichen Itza",United States,Mexico,Some objects relinquished,1935,,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Mexico
19th Century Indigenous Regalia Of A Blackfoot Nation Leader Crowfoot,United Kingdom,Canadian Tribal Nation,Object(s) relinquished,2008,2022,,Public: Institution,Public: Government,Developed,Developing,Canadian Tribal Nation
Peruvian Inca Manuscript,Chile,Peru,Object(s) relinquished,1970,2020,Action by Respondent's Govt.,Public: Government,Public: Government,Developing,Developing,Peru
77 Turkish Artifacts From Panagia Soumela Monastery,Greece,Turkey,Unresolved,2020,,Action by Complainant's Govt.,Public: Government,Public: Government,Developed,Developing,Turkey
Canadian 100 Kilogram Gold Coin,Germany,Germany,Object(s) not relinquished,2017,2020,Action by Complainant's Govt.,Private: Individual,Private: Institution,Developed,Developed,Canada
Indigenous Chief Black Coal Headdress Of Northern Arapaho Tribe,United States,United States Tribal Nations,Object(s) relinquished,2020 (approximate),2020,Sua sponte donation,Private: Individual,Public: Government,Developed,Developing,United States Tribal Nations
15th Century Indian Idol Of Saint Tirumankai Alvar,United Kingdom,India,Unresolved,2020,,,Private: Institution,Public: Government,Developed,Developing,India
Korean Daegunjubo And The Royal Seal Of King Hyojong,United States,South Korea,Object(s) relinquished,2020 (approximate),,Sua sponte donation,Private: Individual,Public: Government,Developed,Developed,South Korea
Taizong Horses Stone Sculpture Reliefs,United States,United States,Unresolved,2019,,,Private: Institution,Private: Individual,Developed,Developed,China
"8 Roman, Etruscan And Greek Antiquities",United States,Italy,Object(s) relinquished,2018 (approximate),2019,Action by Complainant's Govt.,Private: Institution,Public: Government,Developed,Developed,
Afghan Limestone Sculpture Of A Bull From Ceremonial Frieze,United Kingdom,Afghanistan,Object(s) relinquished,,2020,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,Developing,Afghanistan
Egyptian Limestone Bust From First Intermediate Period,Netherlands,Egypt,Object(s) relinquished,1990 (approximate),2019,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Egypt
Egyptian Giza Pyramid Stone,Scotland,Egypt,Unresolved,1872,,,Public: Institution,Public: Government,Developed,Developing,Egypt
Namibian Bible And Whip,Germany,Namibia,Object(s) relinquished,1893,2019,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Namibia
"Nigerian ""Lander Stool"" Sculptural Wood Carving",United Kingdom,Nigeria,Unresolved,2019,,,Public: Institution,Public: Government,Developed,Developing,Nigeria
"34 Page 1,200 Year Old Syrian Bible",Turkey,Syria,Unresolved,2019,,Action by Respondent's Govt.,Public: Government,Public: Government,Developing,Developing,Syria
"148 Ivory Coast Artifacts, Including The Djidji Ayokwe",France,Côte d'Ivoire (Ivory Coast),Some objects relinquished,2018,2023 (only the Djidji Ayokwe),Action by Complainant's Govt.,Public: Government,Public: Government,Developed,Developing,Côte d'Ivoire (Ivory Coast)
Acoma Pueblo Sacred Objects Including Ceremonial Shield,United States,United States Tribal Nations,Some objects relinquished,2015 (approximate),2018,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,United States Tribal Nations
12 Turkish Gaziantep Zeugma Mosaics,United States,Turkey,Object(s) relinquished,1960 (approximate),2018,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,Developing,Turkey
"2,000 Rwandan Ethnographic Rwandan Artifacts, 4,000 Photographs, Films And Musical Recordings",Belgium,Rwanda,Object(s) relinquished,,2018,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Rwanda
Cypriot Icon Of Jesus Christ,United Kingdom,Cyprus,Object(s) relinquished,2011,2011,Coordinated action by Complainant &amp; Respondent Governments,Private: Individual,Public: Institution,Developed,Developed,Cyprus
Egyptian Relief Of King Amenhotep I,United Kingdom,Egypt,Object(s) relinquished,2018,2018,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developing,Egypt
Indian Bronze Dancing Shiva From Nellai,Australia,India,Unresolved,2018,,,Public: Institution,Public: Government,Developed,Developing,India
Chinese Buddha Statue From Longmen Grottoes,United States,China,Unresolved,2018,,,Private: Institution,Public: Government,Developed,Developing,China
18th Century Native American Tomahawk,United States,United States Tribal Nations,,,,Sua sponte donation,Public: Institution,Public: Government,Developed,Developing,United States Tribal Nations
2 Achaemenid Iranian Bas-Relief Carvings,United States,Iran,Unresolved,1936,,,Public: Government,Public: Government,Developed,Developing,Iran
"1,300 Ancient Iraqi Artifacts",Jordan,Iraq,Object(s) relinquished,,2019,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developing,Developing,Iraq
Greek Marble Attic Column,United Kingdom,Greece,Object(s) relinquished,2018 (approximate),2018,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developed,Greece
Spanish Letter By Christopher Columbus,United States,Spain,Object(s) relinquished,2004,2018,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developed,Spain
Lingodhbhavamurti Sculpture,United Kingdom,India,Object(s) relinquished,2015,2018,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,Developing,India
"14 Indian Artifacts Including Tamil Nadu Nandi Statue, 12th Century Bronze Idol Of Saint Sambandar And 11th Century Trident With A Kali Idol",Australia,India,Object(s) relinquished,2021,,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,Developing,India
"1,784 Iranian Persepolis Fortification Tablets",United States,Iran,Object(s) relinquished,2018,2019,Private Negotiation,Private: Institution,Public: Government,Developed,Developing,Iran
Chinese Statue Head from Yungang Grottoes,United States,China,Object(s) relinquished,2018,2018,Sua sponte donation,Private: Individual,Public: Government,Developed,Developing,China
118 Ancient Egyptian Artifacts,Italy,Egypt,Object(s) relinquished,2011 (approximate),2018,,Public: Government,,Developed,Developing,
Indian Apsara Stone Sculpture,United States,India,Object(s) relinquished,1998,2018,,Private: Institution,Public: Government,Developed,Developing,India
The Palestinian Byzantine Era Shellal Mosaic,Australia,Palestine,Object(s) not relinquished,1918,,,Public: Government,Public: Government,Developed,Developing,Palestine
26 Greek Antiquities From Crete,Austria,Greece,Object(s) relinquished,1948,2017,Action by Complainant's Govt.,Public: Government,Public: Government,Developed,Developed,Greece
Iraqi Assyrian Bas-Relief From The Palace Of Nimrud Of Apkallu,United States,Iraq,Object(s) not relinquished,2018,,,Private: Institution,Public: Government,Developed,Developing,Iraq
